Coder	Citation			Background Information			Eligibility Criteria							Search Procedures				Screening and Coding Procedures			MA Methods					Bias	Search Results			For each primary study.... Did the authors publish:					Reproducible results		Review size 		Comments	
1	"Durantini, M. R., Albarracin, D., Mitchell, A. L., Earl, A. N., & Gillette, J. C. (2006). Conceptualizing the influence of social agents of behavior change: A meta-analysis of the effectiveness of HIV-prevention interventionists for different groups. Psychological bulletin, 132(2), 212."	2006	10.1037/0033-2909.132.2.212	y	group differences	n	n	y	both withtin- and between subjects; experimental & quasi-exp	y	NA	y	n	y	y	n	y	n	n	y	y	y	y	y	y	y	y	y	y	n	n	n	n	n	n	n	166	abstract		
1	"Connell, A. M., & Goodman, S. H. (2002). The association between psychopathology in fathers versus mothers and children's internalizing and externalizing behavior problems: a meta-analysis. Psychological bulletin, 128(5), 746."	2002	10.1037//0033-2909.128.5.746	n	correlation	n	y	y	no retrospective reports	NA	y	y	y	n	y	n	y	n	n	y	y	y	y	y	y	n	n	y	y	NA	n	n	n	y	n	n	134	"p. 751 - may be slightly fewer manuscripts than this as the authors use the term ""independent samples"""		
1	"Low, K. D., Yoon, M., Roberts, B. W., & Rounds, J. (2005). The stability of vocational interests from early adolescence to middle adulthood: a quantitative review of longitudinal studies. Psychological bulletin, 131(5), 713."	2005	10.1037/0033-2909.131.5.713	n	correlation	n	n	y	"We selected longitudinal studies that reported
stability coefficients of 1 year or longer"	NA	y	y	y	y	y	n	n	n	y	y	y	y	y	y	y	n	y	y	y	NA	y	n	y	y	n	n	66	p. 718		
1	"Field, M., Munafò, M. R., & Franken, I. H. (2009). A meta-analytic investigation of the relationship between attentional bias and subjective craving in substance abuse. Psychological bulletin, 135(4), 589."	2009	10.1037/a0015843	n	correlation	n	n	y	both within- and between-subjects	NA	y	y	y	y	n	n	y	y	y	y	y	n	y	y	y	y	n	n	n	NA	y	n	y	y	n	y	56	"p. 16; has a slightly higher number in the abstract, ""independent samples"" so I went with the number of manuscripts"		
1	"Hopkins, W. D. (2006). Comparative and familial analysis of handedness in great apes. Psychological bulletin, 132(4), 538."	2006	10.1037/0033-2909.132.4.538	n	correlation	n	y	n	NA	NA	y	y	y	y	n	n	n	n	n	y	y	y	y	y	n	n	n	n	n	NA	y	n	y	n	n	n	1524	6	also not a typo!	
1	"Gangestad, S. W., & Snyder, M. (2000). Self-monitoring: Appraisal and reappraisal. Psychological bulletin, 126(4), 530"	2000	10.1037//0033-2909.126.4.530	y	correlation	n	n	n	NA	NA	y	y	y	n	n	n	n	n	n	n	y	y	n	n	n	n	n	n	y	NA	n	n	y	n	y	n	41	p. 538		
1	"Kosslyn, S. M., & Thompson, W. L. (2003). When is early visual cortex activated during visual mental imagery?. Psychological bulletin, 129(5), 723."	2003	10.1037/0033-2909.129.5.723	y	experimental	n	n	not sure	studies needed a baseline condition	y	NA	y	y	y	n	n	n	n	n	y	y	n	n	y	n	n	n	n	y	n	y	n	y	n	n	n	59	735	Effect size was binary (yes/no)	resolved
1	"Mitte, K. (2005). Meta-analysis of cognitive-behavioral treatments for generalized anxiety disorder: a comparison with pharmacotherapy. Psychological bulletin, 131(5), 785."	2005	10.1037/0033-2909.131.5.785	y	group differences	n	y	y	no case studies	NA	y	y	y	y	y	n	y	n	n	y	y	y	y	y	y	y	n	y	y	n	n	n	y	n	n	n	65	abstract		
1	"Mezulis, A. H., Abramson, L. Y., Hyde, J. S., & Hankin, B. L. (2004). Is there a universal positivity bias in attributions? A meta-analytic review of individual, developmental, and cultural differences in the self-serving attributional bias. Psychological bulletin, 130(5), 711."	2004	10.1037/0033-2909.130.5.711	n	experimental	n	n	y	either a between-subjects or within-subjects design	y	NA	y	n	y	y	n	y	n	n	y	y	y	n	y	y	y	n		y	n	y	n	y	y	n	n	266	abstract		
1	"Bogg, T., & Roberts, B. W. (2004). Conscientiousness and health-related behaviors: a meta-analysis of the leading behavioral contributors to mortality. Psychological bulletin, 130(6), 887."	2004	10.1037/0033-2909-130.6.887	y	correlation	n	n	y	"in case of quasi-experimental research, control subsample required"	NA	y	y	y	y	y	n	n	n	n	y	y	y	n	y	y	y	n	y	y	NA	y	n	y	n	n	n	194	abstract		
1	"Stice, E., & Shaw, H. (2004). Eating disorder prevention programs: a meta-analytic review. Psychological bulletin, 130(2), 206."	2004	10.1037/0033-2909.130.2.206	y	group differences	n	n	y	prevention programs evaluated in controlled trials	NA	y	y	y	y	y	n	y	n	n	n	y	y	n	y	y	n	n	y	y	n	y	n	y	y	n	n	51	209		
1	"Hart, W., Albarracín, D., Eagly, A. H., Brechan, I., Lindberg, M. J., & Merrill, L. (2009). Feeling validated versus being correct: a meta-analysis of selective exposure to information. Psychological bulletin, 135(4), 555."	2009	10.1037/a0015701	y	group differences	n	n	n	NA	NA	y	y	y	y	y	n	y	n	n	n	y	y	y	y	y	y	n	y	y	n	n	n	y	y	n	n	67	p. 559		
1	"Stice, E. (2002). Risk and maintenance factors for eating pathology: a meta-analytic review. Psychological bulletin, 128(5), 825."	2002	10.1037//0033-2909.128.5.825	y	correlation	n	n	y	no retrospective studies	NA	y	y	n	y	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	NA	y	n	y	y	n	n	28	828		
1	"Segerstrom, S. C., & Miller, G. E. (2004). Psychological stress and the human immune system: a meta-analytic study of 30 years of inquiry. Psychological bulletin, 130(4), 601."	2004	10.1037/0033-2909.130.4.601	y	correlation	n	n	n	NA	NA	y	y	n	y	y	n	n	n	n	n	y	y	y	y	y	y	n	n	y	NA	n	n	n	n	n	n	293	"""293 independent studies. These studies were reported in 319 separate
articles in peer-reviewed scientific journals (see Table 2)."" p. 607"		
1	"Cantor, J. M., Blanchard, R., Robichaud, L. K., & Christensen, B. K. (2005). Quantitative reanalysis of aggregate data on IQ in sexual offenders. Psychological Bulletin, 131(4), 555."	2005	10.1037/0033-2909.131.4.555	y	group differences	n	y	y	did not need to have control group to be included	NA	y	y	y	y	n	n	n	n	n	n	y	y	n	y	y	n	n	n	y	n	y	n	y	n	y	n	75	p. 557		
1	"Heller, D., Watson, D., & Ilies, R. (2004). The role of person versus situation in life satisfaction: a critical examination. Psychological bulletin, 130(4), 574."	2004	10.1037/0033-2909.130.4.574	n	correlation	n	y	y	longitudinal studies excluded	NA	y	y	y	y	y	n	y	y	y	y	y	y	n	n	n	n	y	y	y	NA	y	n	y	y	n	n	82	"""After this stage we were left with approximately 70 studies (see Table 2 for a list of studies included in the meta-analysis). Many of the studies contained multiple independent samples and information relevant to several meta-analyses (e.g., a correlation for both Neuroticism and Extraversion with marital satisfaction). Finally, we posted a request for unpublished
or in-press data relevant to our four general classes of meta-analyses on the LISTSERV of the Society of Personality and Social Psychology and received several responses. We used 12 raw data sets that were either available to us or that we received from members of the LISTSERV. Thus, in all, 317 correlations from 116 independent samples were used to compute the meta-analytic estimates."" p. 580"		
1	"Kuncel, N. R., Hezlett, S. A., & Ones, D. S. (2001). A comprehensive meta-analysis of the predictive validity of the graduate record examinations: implications for graduate student selection and performance. Psychological bulletin, 127(1), 162."	2001	10.1037//0033-2909.127.1.162	y	correlation	n	y	n	NA	NA	y	y	y	y	n	n	y	n	n	y	y	y	y	n	y	y	n		y	NA	n	n	n	n	n	n	1753	abstract	not a typo!	
1	"Olatunji, B. O., & Wolitzky-Taylor, K. B. (2009). Anxiety sensitivity and the anxiety disorders: a meta-analytic review and synthesis. Psychological bulletin, 135(6), 974."	2009	10.1037/a0017428	n	group differences	n	n	n	NA	NA	y	y	y	y	y	n	y	n	y	n	y	n	y	y	y	y	y	y	y	n	y	n	y	y	n	n	38	981		
1	"Hagedoorn, M., Sanderman, R., Bolks, H. N., Tuinstra, J., & Coyne, J. C. (2008). Distress in couples coping with cancer: A meta-analysis and critical review of role and gender effects. Psychological bulletin, 134(1), 1."	2008	10.1037/0033-2909.134.1.1	y	group differences	n	y	y	" Data came from a cross-sectional, longitudinal, or intervention
study"	NA	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	n	y	y	n	n	46	10		
1	"Noar, S. M., Benac, C. N., & Harris, M. S. (2007). Does tailoring matter? Meta-analytic review of tailored print health behavior change interventions. Psychological bulletin, 133(4), 673."	2007	10.1037/0033-2909.133.4.673	y	experimental	n	n	y	"Studies had to use an experimental design in which individuals
were randomized to conditions or a quasi-experimental design
with a matched comparison group.
"	y	NA	y	y	y	n	n	y	y	n	y	y	y	y	n	y	n	y	y	y	n	y	n	y	y	n	n	57	abstract		
1	"Dickerson, S. S., & Kemeny, M. E. (2004). Acute stressors and cortisol responses: a theoretical integration and synthesis of laboratory research. Psychological bulletin, 130(3), 355."	2004	10.1037/0033-2909.130.3.355	y	experimental	n	y	n	NA	y	NA	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y	y	y	y	n	y	n	y	y	n	n	208	abstract		
1	"Waschbusch, D. A. (2002). A meta-analytic examination of comorbid hyperactive-impulsive-attention problems and conduct problems. Psychological bulletin, 128(1), 118."	2002	10.1037//0033-2909.128.1.118	n	group differences	n	y	n	NA	NA	y	y	n	y	y	n	y	n	n	n	y	y	y	y	y	n	y	y	y	n	y	n	y	y	y	n	67	124		
1	"Puetz, T. W., O'connor, P. J., & Dishman, R. K. (2006). Effects of chronic exercise on feelings of energy and fatigue: a quantitative synthesis. Psychological bulletin, 132(6), 866."	2006	10.1037/0033-2909.132.6.866	n	experimental	n	n	n	NA	y	NA	y	n	y	y	n	y	n	n	n	y	y	y	y	y	y	n	n	y	n	n	n	y	y	n	n	70	868		
1	"Krizan, Z., & Windschitl, P. D. (2007). The influence of outcome desirability on optimism. Psychological bulletin, 133(1), 95."	2007	10.1037/0033-2909.133.1.95	y	experimental	n	n	n	NA	y	NA	y	y	y	y	n	n	n	n	n	y	n	n	y	y	n	n	n	y	n	n	n	n	n	n	n	26	100		
1	"Poropat, A. E. (2009). A meta-analysis of the five-factor model of personality and academic performance. Psychological bulletin, 135(2), 322."	2009	10.1037/a0014996	y	correlation	n	n	n	NA	NA	y	y	y	y	y	n	n	y	y	n	y	y	y	y	y	y	n	n	y	NA	n	n	n	n	n	n	80	17		
